MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,543143908,,,,543143908,543143908,1x8-12' Jasper - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,U S Lumber,,543143908,,,"U S Lumber, Commercial Product, 543143908",COMMERCIAL PRODUCT 1X8-12,"U S Lumber, 543143908, Commercial Product","U S Lumber Commercial Product, 1x8-12","U S Lumber, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"U S Lumber, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,543140912,,,,543140912,543140912,1x12-12' Biscayne - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,U S Lumber,,543140912,,,"U S Lumber, Commercial Product, 543140912",COMMERCIAL PRODUCT 1X12-12,"U S Lumber, 543140912, Commercial Product","U S Lumber Commercial Product, 1x12-12","U S Lumber, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"U S Lumber, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,543142912,,,,543142912,543142912,1x12-12' Carmel - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,U S Lumber,,543142912,,,"U S Lumber, Commercial Product, 543142912",COMMERCIAL PRODUCT 1X12-12,"U S Lumber, 543142912, Commercial Product","U S Lumber Commercial Product, 1x12-12","U S Lumber, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"U S Lumber, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,543143912,,,,543143912,543143912,1x12-12' Jasper - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),U S Lumber,U S Lumber,,543143912,,,"U S Lumber, Commercial Product, 543143912",COMMERCIAL PRODUCT 1X12-12,"U S Lumber, 543143912, Commercial Product","U S Lumber Commercial Product, 1x12-12","U S Lumber, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"U S Lumber, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513715,,,,,,1513715,,,,1513715,1513715,1x12-12' Hatteras - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513715,,,"BOISE CASCADE®, Commercial Product, 1513715",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1513715, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513716,,,,,,1513716,,,,1513716,1513716,1x12-12' Salt Flat - Trex Lineage,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513716,,,"BOISE CASCADE®, Commercial Product, 1513716",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1513716, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513722,,,,,,1513722,,,,1513722,1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513722,,,"BOISE CASCADE®, Commercial Product, 1513722",COMMERCIAL PRODUCT 1X8-12,"BOISE CASCADE®, 1513722, Commercial Product","BOISE CASCADE® Commercial Product, 1x8-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513723,,,,,,1513723,,,,1513723,1513723,1x12-12' Honey Grove - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513723,,,"BOISE CASCADE®, Commercial Product, 1513723",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1513723, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513729,,,,,,1513729,,,,1513729,1513729,1x8-12' Tide Pool - Trex Enhance Basics Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513729,,,"BOISE CASCADE®, Commercial Product, 1513729",COMMERCIAL PRODUCT 1X8-12,"BOISE CASCADE®, 1513729, Commercial Product","BOISE CASCADE® Commercial Product, 1x8-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1513730,,,,,,1513730,,,,1513730,1513730,1x12-12' Tide Pool - Trex Enhance Basics Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1513730,,,"BOISE CASCADE®, Commercial Product, 1513730",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1513730, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/543076916,,,,,,543076916,,,,543076916,543076916,1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,Boise Cascade Building Materials,,543076916,,,"Boise Cascade Building Materials, Commercial Product, 543076916",COMMERCIAL PRODUCT 1X8-12,"Boise Cascade Building Materials, 543076916, Commercial Product","Boise Cascade Building Materials Commercial Product, 1x8-12","Boise Cascade Building Materials, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise Cascade Building Materials, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1516876,,,,,,1516876,,,,1516876,1516876,1x8-12' Golden Hour - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1516876,,,"BOISE CASCADE®, Commercial Product, 1516876",COMMERCIAL PRODUCT 1X8-12,"BOISE CASCADE®, 1516876, Commercial Product","BOISE CASCADE® Commercial Product, 1x8-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/543076936,,,,,,543076936,,,,543076936,543076936,1x12-12' Cinnamon Cove - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,Boise Cascade Building Materials,,543076936,,,"Boise Cascade Building Materials, Commercial Product, 543076936",COMMERCIAL PRODUCT 1X12-12,"Boise Cascade Building Materials, 543076936, Commercial Product","Boise Cascade Building Materials Commercial Product, 1x12-12","Boise Cascade Building Materials, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise Cascade Building Materials, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1516878,,,,,,1516878,,,,1516878,1516878,1x12-12' Golden Hour - Trex Enhance Naturals Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1516878,,,"BOISE CASCADE®, Commercial Product, 1516878",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1516878, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1516884,,,,,,1516884,,,,1516884,1516884,1x8-12' Pebble Beach - Trex Enhance Basics Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1516884,,,"BOISE CASCADE®, Commercial Product, 1516884",COMMERCIAL PRODUCT 1X8-12,"BOISE CASCADE®, 1516884, Commercial Product","BOISE CASCADE® Commercial Product, 1x8-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1516885,,,,,,1516885,,,,1516885,1516885,1x12-12' Pebble Beach - Trex Enhance Basics Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1516885,,,"BOISE CASCADE®, Commercial Product, 1516885",COMMERCIAL PRODUCT 1X12-12,"BOISE CASCADE®, 1516885, Commercial Product","BOISE CASCADE® Commercial Product, 1x12-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x12-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/543005916,,,,,,543005916,,,,543005916,543005916,1x8-12' Malted Barley - Trex Select 2.0 Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,Boise Cascade Building Materials,,543005916,,,"Boise Cascade Building Materials, Commercial Product, 543005916",COMMERCIAL PRODUCT 1X8-12,"Boise Cascade Building Materials, 543005916, Commercial Product","Boise Cascade Building Materials Commercial Product, 1x8-12","Boise Cascade Building Materials, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise Cascade Building Materials, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/1516902,,,,,,1516902,,,,1516902,1516902,1x8-12' Millstone - Trex Select 2.0 Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Company,BOISE CASCADE®,,1516902,,,"BOISE CASCADE®, Commercial Product, 1516902",COMMERCIAL PRODUCT 1X8-12,"BOISE CASCADE®, 1516902, Commercial Product","BOISE CASCADE® Commercial Product, 1x8-12","BOISE CASCADE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"BOISE CASCADE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.bc.com/product/543007916,,,,,,543007916,,,,543007916,543007916,1x8-12' Whiskey Barrel - Trex Select 2.0 Fascia,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),Boise Cascade Building Materials,Boise Cascade Building Materials,,543007916,,,"Boise Cascade Building Materials, Commercial Product, 543007916",COMMERCIAL PRODUCT 1X8-12,"Boise Cascade Building Materials, 543007916, Commercial Product","Boise Cascade Building Materials Commercial Product, 1x8-12","Boise Cascade Building Materials, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise Cascade Building Materials, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,1x8-12,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
